07-04-2026 14:15:28 | POST | cafeteria-api/categorias
07-04-2026 14:15:28 | GET | cafeteria-api/categorias
07-04-2026 14:15:31 | GET | cafeteria-api/produtos
07-04-2026 14:22:15 | GET | cafeteria-api/categorias
07-04-2026 14:28:32 | GET | cafeteria-api/categorias
07-04-2026 14:28:32 | GET | cafeteria-api/produtos
07-04-2026 14:30:42 | GET | cafeteria-api/produtos
07-04-2026 14:30:42 | GET | cafeteria-api/categorias
07-04-2026 14:31:07 | POST | cafeteria-api/produtos
07-04-2026 14:31:09 | POST | cafeteria-api/produtos
07-04-2026 14:31:09 | POST | cafeteria-api/produtos
07-04-2026 14:31:09 | POST | cafeteria-api/produtos
07-04-2026 14:31:09 | POST | cafeteria-api/produtos
07-04-2026 14:31:10 | POST | cafeteria-api/produtos
07-04-2026 14:31:10 | POST | cafeteria-api/produtos
07-04-2026 14:31:12 | GET | cafeteria-api/produtos
07-04-2026 14:31:12 | GET | cafeteria-api/categorias
07-04-2026 14:31:13 | POST | cafeteria-api/produtos
07-04-2026 14:31:13 | POST | cafeteria-api/produtos
07-04-2026 14:31:14 | POST | cafeteria-api/produtos
07-04-2026 14:33:00 | GET | cafeteria-api/produtos
07-04-2026 14:33:00 | GET | cafeteria-api/categorias
07-04-2026 14:33:01 | POST | cafeteria-api/produtos
07-04-2026 14:33:02 | POST | cafeteria-api/produtos
07-04-2026 14:33:02 | POST | cafeteria-api/produtos
07-04-2026 14:36:39 | GET | cafeteria-api/categorias
07-04-2026 14:37:22 | GET | cafeteria-api/produtos
07-04-2026 14:37:22 | GET | cafeteria-api/categorias
07-04-2026 14:37:28 | POST | cafeteria-api/produtos
07-04-2026 14:37:31 | POST | cafeteria-api/produtos
07-04-2026 14:37:32 | POST | cafeteria-api/produtos
07-04-2026 14:37:32 | POST | cafeteria-api/produtos
07-04-2026 14:37:33 | GET | cafeteria-api/produtos
07-04-2026 14:37:33 | GET | cafeteria-api/categorias
07-04-2026 14:37:34 | POST | cafeteria-api/produtos
07-04-2026 14:37:34 | POST | cafeteria-api/produtos
07-04-2026 14:37:34 | POST | cafeteria-api/produtos
07-04-2026 14:38:57 | GET | cafeteria-api/produtos
07-04-2026 14:38:57 | GET | cafeteria-api/categorias
07-04-2026 14:38:59 | POST | cafeteria-api/produtos
07-04-2026 14:38:59 | POST | cafeteria-api/produtos
07-04-2026 14:38:59 | POST | cafeteria-api/produtos
07-04-2026 14:39:45 | POST | cafeteria-api/produtos
07-04-2026 14:39:46 | GET | cafeteria-api/produtos
07-04-2026 14:39:46 | GET | cafeteria-api/categorias
07-04-2026 14:39:47 | POST | cafeteria-api/produtos
07-04-2026 14:39:47 | POST | cafeteria-api/produtos
07-04-2026 14:39:47 | POST | cafeteria-api/produtos
07-04-2026 14:42:41 | GET | cafeteria-api/produtos
07-04-2026 14:42:41 | GET | cafeteria-api/categorias
07-04-2026 14:42:42 | POST | cafeteria-api/produtos
07-04-2026 14:42:42 | GET | cafeteria-api/produtos
07-04-2026 14:42:48 | POST | cafeteria-api/produtos
07-04-2026 14:42:48 | GET | cafeteria-api/produtos
07-04-2026 14:43:08 | POST | cafeteria-api/produtos
07-04-2026 14:43:08 | GET | cafeteria-api/produtos
07-04-2026 15:02:40 | GET | cafeteria-api/pedidos
07-04-2026 15:02:46 | GET | cafeteria-api/pedidos.php
07-04-2026 15:05:45 | GET | cafeteria-api/pedidos
07-04-2026 15:06:59 | GET | cafeteria-api/pedidos
07-04-2026 15:49:09 | GET | cafeteria-api/pedidos
07-04-2026 15:49:29 | POST | cafeteria-api/pedidos
07-04-2026 15:53:40 | POST | cafeteria-api/pedidos
07-04-2026 15:54:12 | GET | cafeteria-api/pedidos
07-04-2026 16:16:15 | GET | cafeteria-api/pedidos
07-04-2026 16:16:23 | POST | cafeteria-api/pedidos
07-04-2026 16:16:29 | GET | cafeteria-api/pedidos
07-04-2026 16:17:33 | GET | cafeteria-api/produtos
07-04-2026 16:17:33 | GET | cafeteria-api/categorias
07-04-2026 16:17:34 | GET | cafeteria-api/produtos
07-04-2026 16:17:34 | GET | cafeteria-api/categorias
07-04-2026 16:17:35 | GET | cafeteria-api/pedidos
07-04-2026 16:17:36 | GET | cafeteria-api/pedidos
07-04-2026 16:20:05 | GET | cafeteria-api/pedidos
07-04-2026 16:20:06 | GET | cafeteria-api/pedidos
07-04-2026 16:20:06 | GET | cafeteria-api/pedidos
07-04-2026 16:20:06 | GET | cafeteria-api/pedidos
07-04-2026 16:20:06 | GET | cafeteria-api/pedidos
07-04-2026 16:20:22 | GET | cafeteria-api/pedidos
07-04-2026 16:20:23 | GET | cafeteria-api/pedidos
07-04-2026 16:33:33 | GET | cafeteria-api/pedidos
07-04-2026 16:33:34 | GET | cafeteria-api/pedidos
07-04-2026 16:33:34 | GET | cafeteria-api/pedidos
07-04-2026 16:33:34 | GET | cafeteria-api/pedidos
07-04-2026 16:33:34 | GET | cafeteria-api/pedidos
07-04-2026 16:33:34 | GET | cafeteria-api/pedidos
07-04-2026 16:33:35 | GET | cafeteria-api/pedidos
07-04-2026 16:33:35 | GET | cafeteria-api/pedidos
07-04-2026 16:33:35 | GET | cafeteria-api/pedidos
07-04-2026 16:33:35 | GET | cafeteria-api/pedidos
07-04-2026 16:33:35 | GET | cafeteria-api/pedidos
07-04-2026 16:33:36 | GET | cafeteria-api/pedidos
07-04-2026 16:33:44 | GET | cafeteria-api/pedidos
07-04-2026 16:33:44 | GET | cafeteria-api/pedidos
07-04-2026 16:33:44 | GET | cafeteria-api/pedidos
07-04-2026 16:33:45 | GET | cafeteria-api/pedidos
07-04-2026 16:33:45 | GET | cafeteria-api/pedidos
07-04-2026 16:33:46 | GET | cafeteria-api/pedidos
07-04-2026 16:33:46 | GET | cafeteria-api/pedidos
07-04-2026 16:33:46 | GET | cafeteria-api/pedidos
07-04-2026 16:33:47 | GET | cafeteria-api/pedidos
07-04-2026 16:34:07 | GET | cafeteria-api/pedidos
07-04-2026 16:36:42 | GET | cafeteria-api/pedidos
07-04-2026 16:36:43 | GET | cafeteria-api/pedidos
07-04-2026 16:36:43 | GET | cafeteria-api/pedidos
07-04-2026 16:36:43 | GET | cafeteria-api/pedidos
07-04-2026 16:36:43 | GET | cafeteria-api/pedidos
07-04-2026 16:37:26 | GET | cafeteria-api/pedidos
07-04-2026 16:37:35 | GET | cafeteria-api/pedidos
07-04-2026 16:37:53 | GET | cafeteria-api/pedidos
07-04-2026 16:42:01 | GET | cafeteria-api/pedidos
07-04-2026 16:42:02 | POST | cafeteria-api/pedidos
07-04-2026 16:45:30 | POST | cafeteria-api/pedidos
07-04-2026 16:45:38 | POST | cafeteria-api/pedidos
07-04-2026 16:48:19 | POST | cafeteria-api/pedidos
07-04-2026 16:48:23 | GET | cafeteria-api/pedidos
07-04-2026 16:48:53 | GET | cafeteria-api/pedidos
07-04-2026 16:48:54 | POST | cafeteria-api/pedidos
07-04-2026 16:49:26 | GET | cafeteria-api/pedidos
07-04-2026 16:49:30 | POST | cafeteria-api/pedidos
07-04-2026 16:49:30 | GET | cafeteria-api/pedidos
07-04-2026 16:49:52 | GET | cafeteria-api/pedidos
07-04-2026 16:49:58 | POST | cafeteria-api/pedidos
07-04-2026 16:49:58 | GET | cafeteria-api/pedidos
07-04-2026 16:49:59 | POST | cafeteria-api/pedidos
07-04-2026 16:49:59 | GET | cafeteria-api/pedidos
07-04-2026 16:49:59 | POST | cafeteria-api/pedidos
07-04-2026 16:49:59 | GET | cafeteria-api/pedidos
07-04-2026 16:49:59 | POST | cafeteria-api/pedidos
07-04-2026 16:49:59 | GET | cafeteria-api/pedidos
07-04-2026 16:51:13 | GET | cafeteria-api/pedidos
07-04-2026 16:51:18 | POST | cafeteria-api/pedidos
